School Name,Start Date,End Date,Notes,Degree Name,Activities
Global Academy Of Technology,2014,2018,"Mechanical engineering plays a critical role in manufactured technologies, from cars to airplanes to refrigerators. It enables you to do many daily activities with ease, as it brings helpful technologies to our modern society.",Bachelor of Engineering - BE,"I was a member of ISHRAE . The Indian Society of Heating, Refrigerating and Air Conditioning Engineers (ISHRAE), was founded in 1981 at New Delhi by a group of eminent HVAC&R professionals. "
Visvesvaraya Technological University,2014,2018,,Bachelor of Engineering - BE,
"St. Mary's English High School, Jamshedpur",Apr 2013,Apr 2014,,High School Diploma,
