Saved Date,Job Url,Job Title,Company Name
"9/22/22, 2:49 PM",http://www.linkedin.com/jobs/view/3277185599,"Data Analyst, Trilogy (Remote) - $60,000/year USD",Crossover for Work
"7/14/21, 1:21 PM",http://www.linkedin.com/jobs/view/2639220551,Data Scientist,Shell
"6/8/22, 11:55 AM",http://www.linkedin.com/jobs/view/3116985842,Data Engineer,Swiss Re
"7/31/22, 3:56 AM",http://www.linkedin.com/jobs/view/3191477831,Data Analyst-MDM,Shell
"7/24/22, 4:46 AM",http://www.linkedin.com/jobs/view/3173903769,Business Analyst,IBM
"5/18/21, 12:13 PM",http://www.linkedin.com/jobs/view/2515369621,Data Science Team Lead - Retail,Shell
"5/18/21, 12:11 PM",http://www.linkedin.com/jobs/view/2533575883,Business Analyst - Finance Treasury,Shell
"10/18/22, 7:53 AM",http://www.linkedin.com/jobs/view/3302163523,Data Analytics,Tata Consultancy Services
"7/26/22, 8:29 AM",http://www.linkedin.com/jobs/view/2974450525,Consumer Engineering - BI Analytics - Associate - Bangalore,Goldman Sachs
"1/5/22, 6:47 PM",http://www.linkedin.com/jobs/view/2860551552,Business Analyst,Shell
"5/26/21, 6:37 AM",http://www.linkedin.com/jobs/view/2516664918,Data Analyst,Cuemath
"9/9/22, 11:33 PM",http://www.linkedin.com/jobs/view/3260465424,Data Analyst,Swiss Re
"1/14/22, 10:23 AM",http://www.linkedin.com/jobs/view/2876294007,Business Analyst,Shell
"12/5/21, 12:35 AM",http://www.linkedin.com/jobs/view/2798051599,Risk Analytics & reporting - Analyst - Bangalore,Goldman Sachs
"4/30/21, 11:22 AM",http://www.linkedin.com/jobs/view/2509159219,Data Analyst,Shell
"12/24/21, 1:06 PM",http://www.linkedin.com/jobs/view/2846869440,IDT Strategy Analyst,Shell
"7/26/22, 1:04 PM",http://www.linkedin.com/jobs/view/3172722634,Systems Engineer - Data,Shell
"7/26/22, 1:03 PM",http://www.linkedin.com/jobs/view/3189658280,IT Operations Engineer,Shell
"10/19/21, 10:09 AM",http://www.linkedin.com/jobs/view/2729675593,Data Analyst (Marketplace),Walmart Global Tech India
"10/5/21, 12:37 PM",http://www.linkedin.com/jobs/view/2722215266,Data Scientist - (Intern) - India UHR,Cisco
"2/18/21, 10:19 AM",http://www.linkedin.com/jobs/view/2417266613,Data Analyst,Apple
"5/23/22, 11:20 AM",http://www.linkedin.com/jobs/view/3082498240,Business Analyst,Shell
"1/14/22, 10:23 AM",http://www.linkedin.com/jobs/view/2863119692,Junior Data Analyst,Cargill
"6/8/22, 11:54 AM",http://www.linkedin.com/jobs/view/3116918921,Data Engineer,Shell
"5/18/21, 12:18 PM",http://www.linkedin.com/jobs/view/2474449863,Analyst-Data Science,Accenture in India
"12/12/21, 12:19 PM",http://www.linkedin.com/jobs/view/2826528585,Business Analyst - Aligne,Shell
"5/18/21, 12:13 PM",http://www.linkedin.com/jobs/view/2541775201,Data Science Technical Assurance Lead,Shell
