Creation Time,Marketplace Type,Service Category,Location,Questions and Answers,Preferred Providers,Status
Mon Apr 29 08:22:06 UTC 2019,SERVICE_MARKETPLACE,Interview Preparation,56009,"1. What do you need your coach to help with? Job offer negotiation,General questions,Mock interviews,Interview strategy 2. What aspects of the interview process would you like help with? Behavioral interviews,Case based interviews,General interview preparation,Industry specific interviews,Technical interviews 3. Where are you in your current interview process? I am applying for jobs 4. How would you like to work with the interview coach? I do not have a preference 5. Tell us more about what you would like the coach to help with. Anything else the coach should know? Firstly I need a proper guidance of my coach to help me in finding a job and then to get through interviews.",,REJECTED
Mon Apr 29 08:24:43 UTC 2019,SERVICE_MARKETPLACE,Career Development Coaching,56009,1. What do you need your career coach to help you with? Find a new job 2. Where are you in your career? Early career 3. How would you like to work with the career coach? I do not have a preference 4. What are your goals in seeking a career coach? Anything else the coach should know? My recant goal is to find a work profile that suits me and i can grow along with it . Right now i deliberately need a proper guidance of a career coach,,REJECTED
Mon Apr 29 08:18:26 UTC 2019,SERVICE_MARKETPLACE,Resume Writing,56009,"1. What type of resume? LinkedIn profile 2. What stage of resume writing are you in? I need revisions to an existing resume 3. Where are you in your career? Early career 4. Which industries are you focused on? Technology,Human resources,Sales, marketing, PR 5. How would you like to work with the resume writer? I do not have a preference 6. What are your goals in seeking a resume writer? Anything else the resume writer should know? (Optional)",,REJECTED
